,Description,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25
DEER,Scheduled,369,513,499,1006,951
DEER,Recordings,537,394,405,689,666
DEER,RecordingFailure,0,0,0,0,0
DEER,AccountWithRecording,144,124,114,146,154
DUKE,Scheduled,27,46,22,53,71
DUKE,Recordings,36,41,29,50,29
DUKE,RecordingFailure,0,0,0,0,0
DUKE,AccountWithRecording,14,12,8,16,14
MID,Scheduled,2,2,10,1,5
MID,Recordings,7,7,2,6,8
MID,RecordingFailure,0,0,0,0,0
MID,AccountWithRecording,3,1,1,1,2
OKC,Scheduled,38,31,24,41,58
OKC,Recordings,82,28,35,20,32
OKC,RecordingFailure,5,3,0,0,0
OKC,AccountWithRecording,12,6,7,9,9
RI,Scheduled,0,0,0,0,0
RI,Recordings,0,0,0,0,0
RI,RecordingFailure,0,0,0,0,0
RI,AccountWithRecording,0,0,0,0,0
SD,Scheduled,146,150,139,247,314
SD,Recordings,216,161,138,160,181
SD,RecordingFailure,3,1,0,0,0
SD,AccountWithRecording,53,49,41,52,52
